What degree are you pursuing?,"Please, tell me about yourself. What interest you? Do you have any hobbies?",What do you expect to learn in Information Visualization? How do expect to use what you learn?,How would you rate your Information Visualization skills?,How would you rate your statistical skills?,How would you rate your mathematics skills?,How would you rate your drawing and artistic skills?,How would you rate your computer usage skills?,How would you rate your programming skills?,How would you rate your computer graphics programming skills?,How would you rate your human-computer interaction programming skills?,How would you rate your user experience evaluation skills?
Master in Science,,"I expect to learn how to visualize different kind of data in an nice way. This to create something beautiful to the users. 

Also I want to learn different techniques related to visualizing data and concepts of how to do it good. ",6,7,5,5,7,7,5,6,7
Bachelor in Science,I like playing with data in intuitive ways,"No idea, sort of my first course in it.",5,4,5,2,10,7,6,4,1
Master in Science,"My current interests include:
Fitness/lifting weights(theory)
Programming in general
Functional programming
Programming language theory

My hobbies include:
Fitness/lifting weights
Watching competetive video games
Playing competetive video games
Programming
Playing the guitar","I expect to learn methods and theory for visualizing different types of information. I also expect to pick up some frameworks for visualizing information, and also general methods of programming for visualizing information.

I think think that by learning how to visualize information I will also learn how to reason about information in terms of how it can be utilized in more effective ways. While I might not always have to visualize information, being able to have better thought patterns in regard to it will be useful in pretty much any data driven task.",4,4,5,6,8,8,3,5,5
Bachelor in Science,,To visualize information in 3D space,1,5,5,8,8,8,5,7,8
Master in Science,"I enjoy video games and hiking, and my major hobby is LARPing (lajv in swedish). I do most genres, from blackbox (small events that usually only lasts for an hour or two and are preformed in an almost bare enviorment) to full scale, weeklong historical fantasy war scenarios. I am also somewhat involved in arranging a couple of scenarios that have not been played yet.

I like games of various types, and I feel that they are a great learning strategy.","I have no idea what i will learn, I chose this course almost by random. Therefore I dont really know what I expect or what I will do with it.",4,2,4,5,8,5,3,5,6
Master in Science,"My main interests are music and training. I play guitar and sing in a band called Bear With Us, check us out on Spotify!",I don't have any expectations really but I have been told that it is a good course. I hope I get to learn more about visualization design and programming ,3,6,6,3,7,5,3,3,5
Master in Science,"Video games, dancing, food",Making neat graphical representations of data. I want to work with data analysis and I expect to use what I learn for that.,3,10,9,7,8,7,4,7,5
Master in Science,"Games, books, comics, music","How to better visualise information. Not sure. I think it's an interesting subject, that's all. ",5,4,6,3,8,7,5,9,4
Master in Science,"photographing, drawing, graphic design, postcard collecting and making, traveling, swimming, badminton",Learn theories and techniques in visualising information for creating well-structured and innovative visualised representation of unstructured information. Build up the concept of information visualisation and be able to  apply the techniques later in industry or academia.,4,5,7,8,9,7,5,5,6
Master in Science,I'm intreseted in creating useable products for everyone. On my sparetime I like being out in the nature and both doing sports myself and coaching children.,I expect to learn new ways of showing data to people in  different ways both to enhance understanding and make it look intresting. I belive that good visualzation of informatin can help people to make the right decisions with a deeper understanding in the actual data.,4,6,6,4,8,6,4,7,6
Master in Science,I like sports. Mainly tennis and football ,I hope to developers my graphical knowledge which I think is valuable for the future,2,8,6,3,8,7,2,2,6
Master in Science,"I am a student of media technology and I love movies and video games. I am mostly interested in storytelling, narrative and world-building in all arts, mostly the visual, and also level design in video games.","I expect to learn how to draw users attention to the wanted information and how to represent raw data in a way that's easy and relevant for the user, plus more that I probably haven't thought of yet.",3,5,7,4,7,2,3,3,2
Master in Science,I am a Master student in EIT Digital's Human Computer Interaction and Design. I have 3+ years of work experience and I like coding.,Different ways of how visualisation can be used to analyse data. How to do them. Create some beautiful visualisations on mobile phones.,3,5,4,5,8,7,3,4,7
Master in Science,,I expect to learn the methods and tools that I can use for data mining and data visualization.,3,4,3,7,9,4,3,7,9
Master in Science,"I have been studying computer science but decided to go with human computer interaction for the master rather than computer science, since I prefer the front end part of the computer science, as well as interaction design. I have an overall interest in technology and technological solutions. Other than technological interests, I like sports (ice-hockey, football, etc.), computer games etc. ","I expect to learn how to better visualize information and design interactive interfaces. By doing so, I hope to get a wider scope of usable tools for such interfaces, and how to use them, as well as when not to use them. Furthermore, I hope by finishing  the project I will become a better programmer, designer and project member and/or leader. A bonus would be to have a project result worth putting in my portfolio. ",3,4,5,1,5,6,4,6,6
Master in Science,"I'm a graphic designer and illustrator. I also work with digital media and user experience design. I'm interested in art and photography. Apart from working out in the gym, reading and watching movies are my hobbies. Plus, I like travelling and visiting art galleries. ","I expect to get insight and the proper way of visualising information. As I'm passionate about graphic design and art, visualising information is very intriguing to me. I may use the tools that I learn from this course to help me when it comes to presentation. ",6,2,2,9,9,5,2,2,5
Master in Science,"Computer Games, League of Legends, Psychology, Reading, Gamification, Hiking",Learning how to visualize and understand vast amounts of data. Use it for visualizing human behaviour and identify pattern. Visualizing game data. Make visualizations which help us to understand the world better.,5,5,2,4,9,5,1,5,4
Bachelor in Science,test,test,1,1,1,1,1,1,1,1,1
Master in Science,"I am into UX design. Love to explore with projects in different domains and platform. Looking forward for the opportunity to play around with oculus rift in the course ;P

Apart from this I love to play basketball and squash. Also I am pretty good in cooking Indian meals :)","From this course I want to learn the technique to take out meaning out of numbers and then create their representation for simple representation.

Key things to get out :
- how to interpret data 
- tools to use
- current practices
",6,4,6,6,8,6,6,7,8
Master in Science,"I love reading about humand mind, how we precieve, understand things, make decisions etc. As I did my Bachelor in International Business economic hirtory is also one of the main subjects I read about. Lately I have have started to read about business analysis and interactin design as that is really closely related to my work as an analyst in an software development company. ","I mainly hope to use the skills in my job working as an analyst. I hope that it will enable me to suggest visully easier to grasp information presentation and therefore give my company's work as an analys a competitive advantage over the regular IT solution. 

In addition to that I hope that that will enable me to make a better framework to analyse the analysing process itself in our company. Our hopes are that we could develop a fairly concrete framework which could hel our future analysts to start off their work. It is very important tat the framework or its key pillars would be visiually easily graspable. ",4,3,7,8,6,2,1,1,3
Master in Science,"I am a two year master student. My passion is game design and visualization. I have some knowladge about modeling and design some I have learned in lectures some I learned by myself (unity, blender, 3DS Max, photoshop etc) . I am really interested in computer games (not indie games rather big games with graphics ). I am interested in animation creation and simulation with 3d objects. ","I expect to learn about creating interactive applications either to web or other platform. I expect to gain deeper insight about visual models and how to develop such models. 
I expect to use information I learned here developing commercial applications. ",6,3,4,3,6,6,4,4,2
Master in Science,"I think technology in general is very interesting, the different possibilities it creates and how it changes the way we act and communicate. Coincidentally, I like to read about new tech, gadgets, software and whatnot.

I like to work creatively with design and different sorts of software development (usually web), which are also some of my hobbies. Other than that, I like gaming, exercising, and hanging out with friends. Of course also long walks in the moonlight and cozy couch-evenings!","I expect to learn of new ways of visualizing information (shocker!), what's important as you do and how I could be able to incorporate this knowledge into both my hobby and my professional work.

I would like to learn more JS and ways of displaying information on the web as well as ""offline"" such as infographics, charts and maybe even in video as that is one of my interests as well.",5,3,3,7,9,5,2,7,5
Master in Science,"My hobbies are games (computer and console) and drawing. I also like reading, especially fantasy and science fiction.","I expect to learn different methods and ways of presenting and visualizing information, which will probably be very useful no matter what I'll be working with in the future. ",4,3,6,9,9,6,4,7,7
Master in Science,"I like graphical interfaces and how to visualize data, which of course is perfect for this course. I like new challenges and met new people to work with. I am hard working and likes to learn new stuff. 
I know how to program, I only have some experiences from web programming such as html, css.","How to approach when visualize data, what to think about, maybe if there is certain guidelines for when to use certain methods. 
I would like to learn as much as I can since i am really amused and inspired about this area, and really wants to take the most from this course. 
I really like visualization and are planing to maybe do something with it in my master thesis, depending on how I feel after this course. ",5,5,6,6,5,7,4,7,8
Master in Science,In my free time I play a lot of computer games and I'm interested in game design and level design as well as programming. For this reason I like to create custom levels for  games I like and create simple games. Non computer related: I do indoor climbing as a hobby.,"I expect to learn how to visualize data in a way thats easy to perceive and interact with. 
This should be useful whenever I want someone to understand a lot of data. It could help in creating a game's graphical user interface if I know of good ways to show information to the user.",4,7,7,4,7,6,6,9,4
Master in Science,"Interests I'm hoping to bring to this course include storytelling, music, and gaming. I'd say I'm generally leaning more toward the conceptual side of things, but of course I also want to learn how to bring those concepts to life. ","I expect there'll be a fair amount of programming, but the main thing I want to learn is how to present information in a clear, concise way. I think the ability to do that would be immensely useful in many facets of life, not to mention working in HCI. ",4,4,5,4,5,5,4,7,5
Master in Science,"- 26 y.o.
- From Stockholm (Sollentuna)
- Bachelor in Business Administration from Uppsala University.
- Studied one year in Santa Barbara (2008-2009)
- Studied half a year in Canberra (2013)
- Studied Media technology (2014-2015) at KTH (mostly math and programming classes)

- Interested in working on important/fun projects.
- Excelling in my work area of life is very important to me.

- General interest in how things work. More specifically how societies and people function. I have taken some university classes in psychology, biology and archaeology.

- I like categorizing things, and I think that's my strongest cognitive ability (relative to memory, arithmetic, spatial etc). Hope that will be helpful in Information Visualization.

- Don't have to much time for hobbies anymore. School, work and my girlfriend fill most hours. I like snowboarding/skiing in the winter. Adventure sports in general are fun (scuba diving, hiking, climbing, cross-country skiing, wakeboarding, motorboats). Played a lot of video/PC-games in my teens (strategy or adventure games mostly). Mostly read video-games magazines now days to keep up on the progress of the industry.

- Used to shoot and edit movies in my teens. Also animate movies in Adobe (Macromedia) flash. Something I've been thinking on starting doing again.

- Have used photoshop and Corel Draw (Illustator substitute) for a t-shirt company I ran some few years ago.

- Have been apart of Excitera (entrepreneurship society at KTH) for one year. Now sits as the Vice president. Have a general interest in Startups, and I will probably try to create a business myself some day.

","- How to technically create useful visualizations of data.
- How to theoretically create useful visualizations of data.
- How to cooperate in a project with more than 4 persons.

I expect to utilize this experience and knowledge in future work projects.",7,5,7,7,8,5,6,5,7
Master in Science,"My biggest interests are video games and drama. I have been a hobby actor for a little more than a decade, and in later years I have also tried out directing and writing.",I expect to become Hans Rosling. Or at least getting a step further in becoming him.,4,5,8,1,7,4,2,4,9
Bachelor in Science,"Hey You!

----------------
What I like:
----------------
I am a person who enjoys to improve a non-finished product. It can be anything from an idea, concepts, prototypes or softwares to a better, more appealing, better user experience, ""this is the way this product should be"" way. 

I also like to brainstorming and come up with unique ideas to reach where we really want. (Because great ideas usually does not come out of the blue).

------------------------------
Who I work best with:
------------------------------
I work best with people who does not care about small things and wants to go forward and sees on the bright side of the project. I also work good with people who criticises ones idea to make so that it is possible to come up with even better ideas!

------------------------------------------------
What I expect during a group work
------------------------------------------------
During a group work, I want to have conversations that converge us towards our best goal and solutions, rather converging to someones ""best goal"" .

---------------
My hobby
---------------
I have a unique hobby such as performing a magic (works as magician) and play ukulele, and I enjoy to ramble.","I want to learn different/unique way of using the 3D printer. 

Some examples are print out some dynamic shapes, for instance wave of a sound, music, or a plot of a chaotic system.",1,4,6,5,5,4,3,2,8
Master in Science,"I am graduate in multimedia engineering expert in videogames, gamification and HCI. My final bachelor thesis was a videogame using low cost electronic sensors, my role was the main developer. I also did a master in Gamification and Serious Gaming which ended with a Master thesis which was a serious game for Android devices developed for a real company. 

My hobbies are: playing videogames, sci-fi and fantasy reading, painting miniatures and digital photography. ",I expect to further increase my programming skills and use some statistics on it to achieve nice visualization interfaces. I am very interested in producing some generative art interfaces where the user could interact with a visual interface and generate art. ,5,4,5,7,9,8,8,10,9
Master in Science,"I like to learn new things. Nowadays I am trying to have a more conscious life, doing things like yoga, diet and reading about psychology. In HCI, I am interested in the ways technology can be used to help people to have a more meaningful life.","I am curious about the topic, but I have a very vague idea for which purposes it can be used for. I think it can be an interesting skill to have in the future, it also seems cool to create images based on data.",2,5,7,3,7,5,3,5,7
Master in Science,"The whole process of creating a video game, also programming.",I expect to learn about d3.js and also different and creative ways of presenting information for the viewer/user.,4,7,5,8,10,8,4,5,5
Master in Science,"I am an IT student who has a lot of interest in the humanities. I have studied half a year of History of Art and half a year of Practical Philosophy at the side of my engineering studies at KTH. I think my main interest lies in gender studies when it comes to what I'm reading on the train to and from school, but I also really enjoy reading about art.

I also have an interest in technology. As someone coming from the IT program I think I've been kind of colored by the people interested in low level programming. I'm kind of missing the ASM and C work we did back in the Computer Technology (?) course. (I'm kind of looking at how it is to work with a Gameboy in my spare time.)

As for more conventional hobbies I guess I like to play games? But lately it has been more reading about games as an art form than actually playing them. Reading about art is something I find really interesting.

I also listen to a lot of music, be it while I studying alone, while I travel to school/home, when I play games, or doing nothing else. I can enjoy more ""difficult"" music that requires focus to enjoy, as well as more conventional music. I really liked the ""The Fetus Speaks"" project as a concept. (And maybe less the heternormativity found in the video presenting the project.)

Also waste too much time on youtube.","I hope to broaden my knowledge of how I can visualize information in different ways, and knowledge of which qualities are fitting for which situations. I hope to both learn methods and tools for information visualization as well as critical reflection on current (or past) practice within the field.

I expect to use what I learn mainly for improving my own presentation of information in software solutions and academic work that I produce. I also hope to use this knowledge when assessing both the suitability for IV solutions I come across in my everyday life; finding bad (and good) designs in life can be quite fun.",6,4,8,2,7,7,6,7,7
Master in Science,"A lot of things within creativity, i.e. art (drawing) and music (both listening to and producing some of my own). This creativity can definitely be used towards fueling my interest for designing intuitive and interesting user interfaces.","To create interactive visualized informative systems, that can be demonstrated once fully developed. To reach this goal in a group is also something that I strive to achieve. Once learned, this experience can be used towards working in similar areas after graduation.",6,5,5,7,7,5,4,5,6
Master in Science,"I studied Computer Science back in France for two years (equivalent to my third year of bachelor and first year of master), but I'm not that skilled in programming. 
I really like graphic design and art, and I'm very interested in seeing how technology shapes new forms of art and inspiration everyday!","I want to learn… 
1. how to visualize data in a way that's appealing for experts and for new users alike 
2. about the trends in information visualization, what can and has been done
3. find a way to shape visualization not only for it to be pretty but also relevant, and explain or defend these choices
4. how to scale and select data in a relevant way from formatted data available online
",4,1,3,8,8,3,3,3,3
Master in Science,"About me as a person I can say that I am not shy but neither I am very social. I have a knack for problem solving but often I have a hard at time convincing people to try my solutions. You see, I am not an eloquent person and it is difficult for me to express myself through speech even though I am actually skilled at writing. 

Of all senses of the human body, vision is my favourite one. I believe that visual media are some of the most powerful at our disposal, in terms of speech and information density. A good narrative should nonetheless never be underestimated, as I believe that people process information best in story form. In my opinion information should not only be conveyed but also entertaining and memorable as well.

Why am I telling you this? Because I have two main hobbies: I paint and I write. Originally, I liked to oil-paint and charcoal or pastel-draw, but nowadays I mostly paint-digitally. In terms of writing it is creative writing that I do, mostly in the form of novels or short stories.",How to create visualisation interfaces that are able to present raw numerical data into a human-friendly fashion that is more easily interpretable.,5,5,7,10,10,6,8,6,3
